Celsius,Fahrenheit,Humidity
8.3,46.94,49.352542906157
7.8,46.04,49.210777733825
7.2,44.96,49.040056032403
7.2,44.96,47.249895431357
7.2,44.96,45.178476274587
6.7,44.06,45.031486894779
7.2,44.96,45.178476274587
8.9,48.02,40.250220236905
10.6,51.08,37.561821575566
11.7,53.06,32.159305993324
13.3,55.94,28.955043338648
15.0,59.0,23.687222469113
16.7,62.059999999999995,17.949576387258
17.8,64.04,19.080507410158
17.8,64.04,17.537557293067
17.8,64.04,16.743635429908
16.7,62.059999999999995,18.800679553469
16.1,60.980000000000004,20.297608107758
15.0,59.0,22.802395898996
14.4,57.92,24.621632849407
13.9,57.02,26.61507912443
10.6,51.08,37.561821575566
11.7,53.06,34.920071104525
11.7,53.06,33.389187203485
11.7,53.06,34.920071104525
10.0,50.0,40.577771339263
10.0,50.0,37.382540479057
9.4,48.92,35.825672022489
8.3,46.94,31.147584739118
7.2,44.96,28.268527537671
7.2,44.96,35.162506282583
8.3,46.94,27.49587845652
10.0,50.0,25.500249969886
11.1,51.98,20.730629662478
12.8,55.04,16.311652292943
13.9,57.02,14.466587967949
15.0,59.0,12.322895484972
15.6,60.08,11.382391702298
15.0,59.0,12.322895484972
15.0,59.0,12.939459523176
13.9,57.02,13.230543437034
12.8,55.04,12.360165025443
12.2,53.96,13.509480489431
11.1,51.98,14.527334707579
9.4,48.92,18.700259719987
8.3,46.94,20.974192479802
7.8,46.04,23.706015854433
5.6,42.08,31.560388208751
6.7,44.06,29.25412240275
5.0,41.0,35.871137754722
4.4,39.92,39.195870168412
5.0,41.0,37.588391345536
5.6,42.08,36.054123510713
6.1,42.980000000000004,34.828855392287
6.7,44.06,33.419479359059
6.7,44.06,34.741164053448
7.2,44.96,36.539946543905
7.2,44.96,36.539946543905
7.2,44.96,38.256095217421
6.7,44.06,43.039467416982
6.7,44.06,45.031486894779
6.1,42.980000000000004,52.890097417346
6.1,42.980000000000004,52.890097417346
6.1,42.980000000000004,48.725352388491
6.1,42.980000000000004,48.725352388491
5.6,42.08,62.058483479026
5.6,42.08,59.3860975252
5.6,42.08,62.058483479026
5.0,41.0,64.699355751278
4.4,39.92,67.466243093379
4.4,39.92,64.560986143923
4.4,39.92,59.521720372817
4.4,39.92,76.337559467926
5.0,41.0,92.59561987308
5.0,41.0,92.59561987308
5.0,41.0,95.898856650027
5.0,41.0,92.59561987308
5.0,41.0,92.59561987308
5.0,41.0,95.898856650027
5.6,42.08,91.984495702735
5.6,42.08,91.984495702735
6.1,42.980000000000004,92.658542027292
6.1,42.980000000000004,92.658542027292
6.7,44.06,92.692530298592
6.7,44.06,92.692530298592
6.7,44.06,92.692530298592
7.0,44.6,93.352225938757
7.2,44.96,89.56964455156
7.8,46.04,89.000869667825
8.3,46.94,89.656134409309
8.3,46.94,89.656134409309
8.3,46.94,89.656134409309
7.8,46.04,92.7542403083
7.8,46.04,92.7542403083
7.8,46.04,95.988158411757
